"Name","Url","DataSource","ExtractedDate","Firm_","Trading_Name_","Address","Postal_Address_","Mobile_No_","Email","Conditions_relating_to_prequalification_","Maintenance_and_General_Works__Group","Traffic_Management_Services__contract__Groups","Traffic_Control_Systems_Supply___Maintenance__a","PrequalificationCategories","Letter"
"A J Williams Group Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/1569dabaa85a1b14ca257526007a6485?OpenDocument","Cached","2025-09-12 10:38:27","A J Williams Group Pty Ltd&nbsp","&nbsp","44 Smyth StreetALLENDALE  VIC   3364&nbsp","P O Box 239CRESWICK  VIC 3363&nbsp","0412 834 856&nbsp","[email&#160;protected]&nbsp","A J Williams Group Pty Ltd (ACN: 075 085 960)  - 1 Third Avenue, SUNSHINE  VIC 3020","Categories: Categories:, Categories:, Maintenance Bridges (M2-BW), Maintenance Pavements (M2-PW), Maintenance Roadsides (M2-RW)","Categories: Categories:","Categories: SCTV- Closed Circuit Television, SCTV - Communications, SSLC - Street Lighting & Conduit Installation, STCE - Traffic Control Equipment, STCE 1 - Traffic Control Equipment 1, STCE 2 - Traffic Control Equipment 2, STS - Traffic Signals, STS1 - Traffic Signals Installation, STS2 - Traffic Signals Maintenance, SVDL - Vehicle Detection Loops","Categories: M2-BW, M2-PW, M2-RW, screen, script, scripts, SCTV, Section, see, Service, Services, Signals, size, Smyth, src, SSLC, static, STCE, Street, strong, STS, STS1, STS2, style, SUNSHINE, superseded, supplierdetails, Supply, SVDL, Systems","A"
"Citywide Utilities Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/c3f3b951ce375532ca25861c00772a6d?OpenDocument","Cached","2025-09-12 10:40:29","Citywide Utilities Pty Ltd&nbsp","&nbsp","24 Tennyson StreetWILLIAMSTOWN NORTH  VIC   3016&nbsp","2/10 Crown StreetSOUTH GEELONG  VIC 3220&nbsp","0439 386 295&nbsp","[email&#160;protected]&nbsp","Conditional: Unable to carry out civil and traffic management",,"Categories: Categories:","Categories: SCTV- Closed Circuit Television, SCTV - Communications, SSLC - Street Lighting & Conduit Installation, STCE - Traffic Control Equipment, STCE 1 - Traffic Control Equipment 1, STCE 2 - Traffic Control Equipment 2, STS - Traffic Signals, STS1 - Traffic Signals Installation, STS2 - Traffic Signals Maintenance","Categories: screen, script, scripts, SCTV, Section, Service, Services, Signals, size, SOUTH, src, SSLC, static, STCE, Street, strong, STS, STS1, STS2, style, supplierdetails, Supply, Systems","C"
"Downer EDI Works Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/1c8085b16e26fb7aca256eaf000bfe37?OpenDocument","Cached","2025-09-12 10:41:10","Downer EDI Works Pty Ltd&nbsp","&nbsp","Level 2, Tower 3, Triniti Business Campus39 Delhi RoadNORTH RYDE  NSW   2113&nbsp","Level 10, 567 Collins StreetMELBOURNE   VIC 3000&nbsp","0458 914 346&nbsp","[email&#160;protected]&nbsp","CONTACT For DOWNER:  Peta Dixon - Business Development Partner; Email: [email&#160;protected]; Ph. 0467 723 192","Categories: Categories:, Categories:, Maintenance Bridges (M2-BW), Maintenance Pavements (M2-PW), Maintenance Roadsides (M2-RW)","Categories: Categories:","Categories: SCTV- Closed Circuit Television, SCTV - Communications, SSLC - Street Lighting & Conduit Installation, STCE - Traffic Control Equipment, STCE 1 - Traffic Control Equipment 1, STCE 2 - Traffic Control Equipment 2, STS - Traffic Signals, STS1 - Traffic Signals Installation, STS2 - Traffic Signals Maintenance","Categories: B2, F150, M2-BW, M2-PW, M2-RW, R3, screen, script, scripts, SCTV, Seal, Section, see, Service, Services, Signals, size, Sprayed, src, SSLC, static, STCE, Street, strong, STS, STS1, STS2, STW, style, superseded, supplierdetails, Supply, Surface, Surfacing, Systems","D"
"Electel Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/6f0b548f73948510ca256d5800020f33?OpenDocument","Cached","2025-09-12 10:41:29","Electel Pty Ltd&nbsp","&nbsp","169 Argyle StreetTRARALGON  VIC   3844&nbsp","&quot;As Above&quot;&nbsp","0418 325 054&nbsp","[email&#160;protected]&nbsp",,,"Categories: Categories:","Categories: SSLC - Street Lighting & Conduit Installation, STCE - Traffic Control Equipment, STCE 1 - Traffic Control Equipment 1, STCE 2 - Traffic Control Equipment 2, STS - Traffic Signals, STS1 - Traffic Signals Installation, STS2 - Traffic Signals Maintenance","Categories: screen, script, scripts, Section, see, Service, Services, Signals, size, src, SSLC, static, STCE, Street, strong, STS, STS1, STS2, style, superseded, supplierdetails, Supply, Systems","E"
"Hi-Lux Technical Services Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/8a06b0d42d6c70e2ca256d5800020f62?OpenDocument","Cached","2025-09-12 10:42:40","Hi-Lux Technical Services Pty Ltd&nbsp","&nbsp","34-36 Chaffey StTHOMASTOWN  VIC   3074&nbsp","PO BOX  141  THOMASTOWN  VIC 3074&nbsp","0409 175 606&nbsp","[email&#160;protected]&nbsp",,,"Categories: Categories:","Categories: SCTV- Closed Circuit Television, SCTV - Communications, SOED - Supply of On-Road Electronic Devices, SSLC - Street Lighting & Conduit Installation, STCE - Traffic Control Equipment, STCE 1 - Traffic Control Equipment 1, STCE 2 - Traffic Control Equipment 2, STS - Traffic Signals, STS1 - Traffic Signals Installation, STS2 - Traffic Signals Maintenance","Categories: Sam, screen, script, scripts, SCTV, Section, see, Service, Services, Signals, size, SOED, Sozio, src, SSLC, St, static, STCE, Street, strong, STS, STS1, STS2, style, superseded, supplierdetails, Supply, Systems","H"
"Onelec Services**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/83dcb1bad283f726ca2580eb0082ab6a?OpenDocument","Cached","2025-09-12 10:44:44","Onelec Data & Electrical Pty Ltd&nbsp","Onelec Services&nbsp","3/43 Burgess RdBayswater North, VIC   3153&nbsp","PO Box 1210Mountain Gate, VIC 3156&nbsp","0402 908 711&nbsp","[email&#160;protected]&nbsp","The condition being that the first two jobs are reviewed by the ITS team: - One Job must be from SCTV category - One job must be from STS categoryThe company holds SSLC and STCE (Traffic Control Equipment) is Conditional to installation and maintenance of:                                                                                       ?TIRTL Receiver & TIRTL Transmitter and the associated communication equipment;?HAREcam Controller;?HAREcam External Flash;?HAREcam Camera;?Culway WIM;?And the associated electrical works",,"Categories: Categories:","Categories: SCTV- Closed Circuit Television, SCTV - Communications, SSLC - Street Lighting & Conduit Installation, STCE - Traffic Control Equipment, STCE 1 - Traffic Control Equipment 1, STCE 2 - Traffic Control Equipment 2, STCE 3 - Traffic Control Equipment 3, STS - Traffic Signals, STS1 - Traffic Signals Installation, STS2 - Traffic Signals Maintenance","Categories: F005, R1, screen, script, scripts, SCTV, Section, Service, Services, Signals, size, src, SSLC, static, STCE, Street, strong, STS, STS1, STS2, style, supplierdetails, Supply, Systems","O"
"Price Electrical Industries Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/057b1dbf24291314ca256d5800020f78?OpenDocument","Cached","2025-09-12 10:45:13","Price Electrical Industries Pty Ltd&nbsp","&nbsp","1 Fotheringham StreetWARRNAMBOOL  VIC     3280&nbsp","PO Box 518 WARRNAMBOOL  VIC 3280&nbsp","0439 108 625&nbsp","[email&#160;protected] &nbsp","Traffic Signals (STS) ? Rural only up 200 Traffic Signal Sites.",,"Categories: Categories:","Categories: SSLC - Street Lighting & Conduit Installation, STCE - Traffic Control Equipment, STCE 1 - Traffic Control Equipment 1, STCE 2 - Traffic Control Equipment 2, STS - Traffic Signals, STS1 - Traffic Signals Installation, STS2 - Traffic Signals Maintenance","Categories: screen, script, scripts, Section, Service, Services, Signal, Signals, Sites, size, src, SSLC, static, STCE, Street, strong, STS, STS1, STS2, style, supplierdetails, Supply, Systems","P"
"Price Electrical Industries Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/0d99b88ba7d673bfca257a840021e275?OpenDocument","Cached","2025-09-12 10:45:13","Price Electrical Industries Pty Ltd&nbsp","&nbsp","1 Fotheringham StreetWARRNAMBOOL  VIC     3280&nbsp","PO Box 518 WARRNAMBOOL  VIC 3280&nbsp","0439 108 625&nbsp","[email&#160;protected] &nbsp","Traffic Signals (STS) ? Rural only up 200 Traffic Signal Sites.",,"Categories: Categories:","Categories: SSLC - Street Lighting & Conduit Installation, STCE - Traffic Control Equipment, STCE 1 - Traffic Control Equipment 1, STCE 2 - Traffic Control Equipment 2, STS - Traffic Signals, STS1 - Traffic Signals Installation, STS2 - Traffic Signals Maintenance","Categories: screen, script, scripts, Section, Service, Services, Signal, Signals, Sites, size, src, SSLC, static, STCE, Street, strong, STS, STS1, STS2, style, supplierdetails, Supply, Systems","P"
"SJP Electrics Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/3531b41a9e5fad54ca25792f007ec357?OpenDocument","Cached","2025-09-12 10:46:08","SJP Electrics Pty Ltd&nbsp","&nbsp","6 Sir Leo Curtis DriveWANDONG   3758&nbsp","P O Box 296Whittlesea  VIC 3757&nbsp","0417 571 002&nbsp","[email&#160;protected]&nbsp",,,"Categories: Categories:","Categories: SSLC - Street Lighting & Conduit Installation, STCE - Traffic Control Equipment, STCE 1 - Traffic Control Equipment 1, STCE 2 - Traffic Control Equipment 2, STS - Traffic Signals, STS1 - Traffic Signals Installation, STS2 - Traffic Signals Maintenance","Categories: screen, script, scripts, Section, see, Service, Services, Signals, Sir, size, SJP, src, SSLC, static, STCE, Street, strong, STS, STS1, STS2, Stuart, style, superseded, supplierdetails, Supply, Systems","S"
"Tyco Safety Products**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/f8f06c90afb78b9aca256d5800020fd0?OpenDocument","Cached","2025-09-12 10:47:16","Tyco Projects (Australia) Pty Ltd&nbsp","Tyco Traffic and Transportation; Tyco Safety Products&nbsp","49 - 51 Rocco DriveSCORESBY  VIC   3179&nbsp","As above &nbsp","0400 003 396&nbsp","[email&#160;protected]&nbsp",,,"Categories: Categories:","Categories: SCTV- Closed Circuit Television, SCTV - Communications, SOED - Supply of On-Road Electronic Devices, SSLC - Street Lighting & Conduit Installation, STCE - Traffic Control Equipment, STCE 1 - Traffic Control Equipment 1, STCE 2 - Traffic Control Equipment 2, STS - Traffic Signals, STS1 - Traffic Signals Installation, STS2 - Traffic Signals Maintenance","Categories: Safety, SCORESBY, screen, script, scripts, SCTV, Section, see, Service, Services, Signals, size, SOED, src, SSLC, static, STCE, Street, strong, STS, STS1, STS2, style, Sullivan, superseded, supplierdetails, Supply, Systems","T"
