"Name","Url","DataSource","ExtractedDate","Firm_","Trading_Name_","Address","Postal_Address_","Mobile_No_","Email","Conditions_relating_to_prequalification_","Maintenance_and_General_Works__Group","Traffic_Management_Services__contract__Groups","Traffic_Control_Systems_Supply___Maintenance__a","PrequalificationCategories","Letter"
"A J Williams Group Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/1569dabaa85a1b14ca257526007a6485?OpenDocument","Fresh","2025-09-12 10:38:27","A J Williams Group Pty Ltd&nbsp","&nbsp","44 Smyth StreetALLENDALE  VIC   3364&nbsp","P O Box 239CRESWICK  VIC 3363&nbsp","0412 834 856&nbsp","[email&#160;protected]&nbsp","A J Williams Group Pty Ltd (ACN: 075 085 960)  - 1 Third Avenue, SUNSHINE  VIC 3020","Categories: Categories:, Categories:, Maintenance Bridges (M2-BW), Maintenance Pavements (M2-PW), Maintenance Roadsides (M2-RW)","Categories: Categories:","Categories: SCTV- Closed Circuit Television, SCTV - Communications, SSLC - Street Lighting & Conduit Installation, STCE - Traffic Control Equipment, STCE 1 - Traffic Control Equipment 1, STCE 2 - Traffic Control Equipment 2, STS - Traffic Signals, STS1 - Traffic Signals Installation, STS2 - Traffic Signals Maintenance, SVDL - Vehicle Detection Loops","Categories: M2-BW, M2-PW, M2-RW, screen, script, scripts, SCTV, Section, see, Service, Services, Signals, size, Smyth, src, SSLC, static, STCE, Street, strong, STS, STS1, STS2, style, SUNSHINE, superseded, supplierdetails, Supply, SVDL, Systems","A"
"A Plus Traffic Management**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/656ec25e3da9214cca2580080083c95d?OpenDocument","Fresh","2025-09-12 10:38:28","LJ & LJ Pty Ltd&nbsp","A Plus Traffic Management&nbsp","177 Queen StreetWARRAGUL VIC   3820&nbsp","PO Box 190WARRAGUL VIC 3820&nbsp","0439 002 484&nbsp","[email&#160;protected]&nbsp",,,"Categories: Categories:",,"Categories: screen, script, scripts, Section, see, Service, Services, size, src, static, Street, strong, style, superseded, supplierdetails","A"
"A S James Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/e8ed7c03b7048e60ca256d0a0007352c?OpenDocument","Fresh","2025-09-12 10:38:29","A S James Pty Ltd&nbsp","&nbsp","15 Libbett AvenueCLAYTON SOUTH VIC   3806&nbsp","&quot;As Above&quot;&nbsp","&nbsp","[email&#160;protected]&nbsp",,,,,"Categories: screen, script, scripts, Section, Service, size, SOUTH, src, static, strong, style, supplierdetails","A"
"A W Evans (Evans Earthmoving)**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/53362b0ad554678cca258a51001781df?OpenDocument","Fresh","2025-09-12 10:38:29","Deja Eight Pty Ltd&nbsp","A W Evans (Evans Earthmoving)&nbsp","25 Turner DriveFORREST   VIC   3236&nbsp","&quot;As Above&quot; &nbsp","0411 863 286&nbsp","[email&#160;protected]&nbsp",,,,,"Categories: B1, F005, R1, screen, script, scripts, Section, Service, size, src, static, strong, style, supplierdetails","A"
"A1 Asphalting Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/aa5a3147fac82c1bca257bad000baab5?OpenDocument","Fresh","2025-09-12 10:38:30","A1 Asphalting Pty Ltd&nbsp","&nbsp","50 Parinda RoadDROUIN VIC    3818&nbsp","PO BOX  188DROUIN, VIC  3818&nbsp","0400 829 287&nbsp","[email&#160;protected] &nbsp",,"Categories: Categories:, Categories:, Maintenance Works-Minor (M1)",,,"Categories: M1, screen, script, scripts, Section, Service, size, src, static, strong, style, supplierdetails, Surfacing","A"
"A1 Civil Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/174b8795632736f2ca257db70017ff9e?OpenDocument","Fresh","2025-09-12 10:38:31","A1 Civil Pty Ltd&nbsp","&nbsp","12 Weerong RoadDROUIN VIC   3818&nbsp","P O Box 188DROUIN VIC 3818&nbsp","0400 829 287&nbsp","[email&#160;protected]&nbsp",,,,,"Categories: F005, R1, screen, script, scripts, Section, Service, size, src, static, strong, style, supplierdetails","A"
"A1 Highways Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/1ef451d6050c4468ca257d1f001c5f55?OpenDocument","Fresh","2025-09-12 10:38:31","A1 Highways Pty Ltd&nbsp","&nbsp","3-9 Octal StYATALA QLD   4207&nbsp","&quot;As Above&quot; &nbsp","&nbsp","[email&#160;protected]&nbsp",,"Categories: Categories:, Categories:, Maintenance Works-Minor (M1)",,,"Categories: M1, screen, script, scripts, SE, Section, Service, Sign, size, src, St, static, strong, style, supplierdetails","A"
"A1 Traffic Management**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/d7318284ae904871ca2573c90005f58c?OpenDocument","Fresh","2025-09-12 10:38:32","Skyrider Tower Hire Pty Ltd&nbsp","A1 Traffic Management&nbsp","Shed 4, 319 Learmonth RoadWENDOUREE  VIC   3355&nbsp","P.O. Box 112WENDOUREE  VIC 3355&nbsp","0429 959 088&nbsp","[email&#160;protected]&nbsp",,,"Categories: Categories:",,"Categories: screen, script, scripts, Section, see, Service, Services, Shed, size, Skyrider, src, static, strong, style, superseded, supplierdetails","A"
"AAM Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/9b606d6170503ac7ca257eac0004af8d?OpenDocument","Fresh","2025-09-12 10:38:33","AAM Pty Ltd&nbsp","&nbsp","90 Camberwell RoadHAWTHORN EAST  VIC   3123&nbsp","&quot;As Above&quot; &nbsp","0488 579 686&nbsp","[email&#160;protected]&nbsp",,,,,"Categories: screen, script, scripts, Section, Service, size, src, static, strong, style, supplierdetails, Surveying","A"
"ABC Traffic Management Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/3ca2f76a4c003832ca257a0c002bd1ae?OpenDocument","Fresh","2025-09-12 10:38:33","ABC Traffic Management Pty Ltd&nbsp","&nbsp","266-268 Maroondah HighwayCHIRNSIDE PARK VIC   3116&nbsp","P O Box 8097CROYDON VIC 3136&nbsp","0447 444 700&nbsp","[email&#160;protected]&nbsp",,,"Categories: Categories:",,"Categories: screen, script, scripts, Section, see, Service, Services, size, src, static, strong, style, superseded, supplierdetails","A"
"ABD Group Construction Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/5104130b8de60d60ca258431007e41e8?OpenDocument","Fresh","2025-09-12 10:38:34","ABD Group Construction Pty Ltd&nbsp","&nbsp","Level 1, 99 Queensbridge StreetSOUTHBANK  VIC   3006&nbsp","&quot;As Above&quot; &nbsp","0413 543 121&nbsp","[email&#160;protected]&nbsp",,,"Categories: Categories:",,"Categories: screen, script, scripts, Section, see, Service, Services, size, SOUTHBANK, src, static, Street, strong, style, superseded, supplierdetails","A"
