"Name","Url","DataSource","ExtractedDate","Firm_","Phone","Fax","Address","Contact","Position","Mobile_No_","PostalAddress","Road_and_Bridge_Construction_Group","PrequalificationCategories","Letter"
"Ballarat Earthmoving Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/240a1a5c7f86d587ca25713e001f2a27?OpenDocument","Cached","2026-01-21 15:55:33","Ballarat Earthmoving Pty Ltd","(03) 5336 1945","(03) 5336 2922","39 Carngham Road, DELACOMBE VIC 3356","Mr Michael Kennedy","Manager","0409 433 072","PO BOX 7R, REDAN VIC 3350&nbsp","Road Construction: R1; Financial: F005","F005, R1","B"
"Balpara Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/5d253d1b8a7ab12aca257deb001dca47?OpenDocument","Cached","2026-01-21 15:55:33","Balpara Pty Ltd","(03) 9544 3877","(03) 9543 3877","Unit 8-10, 104 Ferntree Gully Road , OAKLEIGH VIC 3166","Miss Yasmin Tan","Business Development Engineer","0404 864 205","""As Above"", &nbsp",,"TLD","B"
"Banyule City Council","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/93a4fdac8e4b741dca257c6700191a71?OpenDocument","Cached","2026-01-21 15:55:34","Banyule City Council","(03) 9490 4222","(03) 9499 9475","275 Upper Heidelberg Road, IVANHOE, VIC 3079","Mr Geoff Glynn","Director Assets and City Services",,"""As Above"", &nbsp",,,"B"
"Barco Tree Lopping and Traffic Management Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/b1288af8cc06d404ca257b120017f352?OpenDocument","Cached","2026-01-21 15:55:34","Barco Tree Lopping and Traffic Management Pty Ltd",,"(03) 5527 1653","5 Righetti Road, Heywood, VIC 3304","Ms Joanne Trewin","Office Admin","0429 418 906","""As Above"", &nbsp",,,"B"
"Bardavcol Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/959b527659ddf787ca256d0b00169720?OpenDocument","Cached","2026-01-21 15:55:35","Bardavcol Pty Ltd","(08) 8360 2803","(08) 8349 6715","7 Churchill Road North, DRY CREEK SA 5094","Ms Robyn Dredge","Marketing and  Development Manager","0400 805 613","PO Box 65 , DRY CREEK SA 5094&nbsp","Road Construction: R5; Bridge Construction: B4; Financial: F100","B4, F100, R5","B"
"Barleys Traffic Management Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/2b8de3faf567a37cca25834a001cf054?OpenDocument","Cached","2026-01-21 15:55:36","Barleys Traffic Management Pty Ltd","(03) 9088 7592",,"Unit 4, 9 Narong Road, CAUFIELD NORTH VIC 3161","Daniel Barley","Manager","0481 578 197","""As Above"", &nbsp",,,"B"
"Barrier Designs Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/4078c4ff808ee1afca257bcd0022659f?OpenDocument","Cached","2026-01-21 15:55:36","Barrier Designs Pty Ltd","(03) 8339 0778","(03) 8339 0778","67 Freight Drive , Somerton Vic 3062","Mr Brad Tucker","Director","0418 335 006","P O Box 250, Epping VIC 3076&nbsp",,"GF","B"
"Barwon Traffic Management Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/ebaa575d15a05b54ca257b9f001fce68?OpenDocument","Cached","2026-01-21 15:55:37","Barwon Traffic Management Pty Ltd","(03) 5249 1175",,"539 Barrabool Road, CERES, VIC 3221","Mr Jamie Hutchesson","Director","0437 211 379","""As Above"", &nbsp",,,"B"
"Bass Coast Shire Council","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/cf8b93b89fe81e3aca257b0b0074bfc9?OpenDocument","Cached","2026-01-21 15:55:37","Bass Coast Shire Council","1300 226 278","(03) 5671 2222","76 McBride Avenue , Wonthaggi, VIC 3995","Mr Paul Buckley","CEO","0418 512 997","""As Above"", &nbsp",,,"B"
"Batt Brothers Vegetation Management**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/d4fae97fdbef87bdca2580c200195d2e?OpenDocument","Cached","2026-01-21 15:55:38","Batt Brothers Pty Ltd","1300 228 276",,"5 Hayward Court, BAIRNSDALE VIC 3875","Mrs Belinda Batt","Accounts/Administration Manager","0400 045 145","""As Above"", &nbsp",,"GC, M2-RW, RW","B"
