"Name","Url","DataSource","ExtractedDate","Firm_","Phone","Fax","Address","Contact","Position","PostalAddress","Email","Road_and_Bridge_Construction_Group","PrequalificationCategories","Letter"
"Earthform Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/275c210f55225c36ca2584010012f015?OpenDocument","Cached","2025-09-12 10:41:19","Earthform Pty Ltd","03 5368 7339","03 5368 7339","120 Muddy Lane, MYRNIONG VIC 3341","Krystal Fish","General Manager","PO Box 307, MYRNIONG VIC &nbsp","afish@earthform.net.au","Road Construction: R1; Financial: F001","F001, R1","E"
"Earthlink Civil**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/6d4c56aef29c5456ca257f1700054d87?OpenDocument","Cached","2025-09-12 10:41:20","Phil Hampton Excavations Pty Ltd",,,"1 Arlington Court, BENDIGO VIC 3551","Mr Phil Hampton","Director","P o Box 964, MAIDEN GULLY VIC 3551&nbsp","admin@philhamptonexcavations.com.au","Road Construction: R1; Financial: F002","F002, R1","E"
"Earthtec Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/7066b97db0e4a73dca25822400813c51?OpenDocument","Cached","2025-09-12 10:41:21","Earthtec Pty Ltd","02 9420 8610","02 9420 8650","161 Burns Bay Road,, LANE COVE, SYDNEY NSW 2066","Mr Alan Moss","Managing Director","P O Box 4075, LANE COVE NSW 1595&nbsp","amoss@earthtec.com.au","Road Construction: R2; Bridge Construction: B1; Financial: F010","B1, F010, R2","E"
"Earthworks Civil &amp; Construction Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/cfd47e84b05ffbf1ca258a84000e5961?OpenDocument","Cached","2025-09-12 10:41:21","Earthworks Civil & Construction Pty Ltd","03 5483 7551",,"63 MCMillan Road, ECHUCA VIC 3564","Mr Ben Rankin","Director","PO Box 472 , ECHUCA VIC 3564&nbsp","estimating@earthworkscivil.com","Road Construction: R1; Financial: F001","F001, R1","E"
"Earthworks Civil &amp; Construction Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/35fba9faa39a247dca258758007fc576?OpenDocument","Cached","2025-09-12 10:41:21","Earthworks Civil & Construction Pty Ltd","03 5483 7551",,"63 MCMillan Road, ECHUCA VIC 3564","Mr Ben Rankin","Director","PO Box 472 , ECHUCA VIC 3564&nbsp","estimating@earthworkscivil.com","Road Construction: R1; Financial: F001","F001, R1","E"
"East Gippsland Road Maintenence Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/c77369eb1d587729ca256d0b0016e5fc?OpenDocument","Cached","2025-09-12 10:41:22","East Gippsland Road Maintenence Pty Ltd","(03) 5152 2522","(03) 5152 2866","56 O'Brien Street, BAIRNSDALE VIC 3875","Mr Allan Quirke","Director","PO Box 1442, BAIRNSDALE VIC 3875&nbsp","egrmptyltd@bigpond.com.au",,"BW, M2-BW, M2-PW, M2-RW, PW, RW","E"
"East Gippsland Traffic Control Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/7eb68d9cf52e2197ca2584c4007c3767?OpenDocument","Cached","2025-09-12 10:41:23","East Gippsland Traffic Control Pty Ltd",,,"87 McMillan Street, BAIRNSDALE VIC 3875","Mr Josh Campbell","Operations Manager","""As Above"", &nbsp","admin@eastgippslandtrafficcontrol.com.au",,,"E"
"Eastern Constructions Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/427305a4c2127314ca256d0b0016e649?OpenDocument","Cached","2025-09-12 10:41:23","Eastern Constructions Pty Ltd","(03) 5174 6551",,"20-22 Standing Drive , TRARALGON VIC 3844","Ms Jessica Murphy","Managing Director","PO Box 1648, TRARALGON VIC 3844&nbsp","admin@easternconstructions.com.au","Road Construction: R1; Financial: F002","F002, R1","E"
"Ecolink Consulting Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/6121b30c6bf93d22ca257b260011d1cf?OpenDocument","Cached","2025-09-12 10:41:24","Ecolink Consulting Pty Ltd","(04) 19 894 948",,"2 Claremont Street, Mount Eliza, VIC 3930","Dr Stuart Cooney","Principal Ecologist / Director","P O Box 256, Northcote, VIC 3070&nbsp",,,"AFF, AND, E-AFF, E-TFL, GAIN, NET, TFL","E"
"Ecological Associates Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/233b72ba452259b9ca256ea10007e92d?OpenDocument","Cached","2025-09-12 10:41:24","Ecological Associates Pty Ltd","(08) 8272 0463","(08) 8272 0468","5/235 Unley Road, Malvern SA 5061","Dr Marcus Cooling","Principal Ecologist","""As Above"", &nbsp","mcooling@eassoc.com.au",,"AFF, AND, E-AFF, E-TFL, GAIN, NET, TFL","E"
