"Name","Url","DataSource","ExtractedDate","Firm_","Trading_Name_","Address","Postal_Address_","Mobile_No_","Email","Environment_Group","Biodiversity","PrequalificationCategories","Letter"
"G &amp; B Cheers Flora &amp; Fauna Consultants","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/168d9b3f6be417e8ca2575c0007e9d0f?OpenDocument","Fresh","2025-09-12 10:42:03","G & B Cheers Flora & Fauna Consultants&nbsp","&nbsp","525 Dunolly RdHavelock   3465&nbsp","&quot;As Above&quot; &nbsp","0429965398&nbsp","[email&#160;protected]&nbsp","Categories:","Flora Fauna and Net Gain Assessments (E-TFL)","Categories: screen, script, scripts, Section, Service, size, src, static, strong, style, supplierdetails","G"
"G &amp; G Engineering (Aust) Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/f7973206bf2b9aebca258337007c8cd5?OpenDocument","Fresh","2025-09-12 10:42:04","G & G Engineering (Aust) Pty Ltd&nbsp","&nbsp","101 Brooklyn RoadMELTON SOUTH  VIC   3338&nbsp","&quot;As Above&quot; &nbsp","0407 530 305&nbsp","[email&#160;protected]&nbsp",,,"Categories: M1, Schofield, screen, script, scripts, Section, Service, size, SOUTH, src, static, strong, style, supplierdetails","G"
"GAB Group - Trees Traffic Power**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/8afac0df7f833b79ca2581920020df5c?OpenDocument","Fresh","2025-09-12 10:42:04","PGAB Pty Ltd&nbsp","GAB Group - Trees Traffic Power&nbsp","124 High StreetKOROIT VIC   3282&nbsp","1 Wells StreetWARRNAMBOOL  VIC  3280&nbsp","0408 629 377&nbsp","[email&#160;protected]&nbsp",,,"Categories: screen, script, scripts, Section, see, Service, Services, size, src, static, Street, strong, style, superseded, supplierdetails","G"
"Gambier Earth Movers Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/eeca9bed26da606cca2574a6001fab71?OpenDocument","Fresh","2025-09-12 10:42:05","Gambier Earth Movers Pty Ltd&nbsp","&nbsp","29 Avey RoadMT GAMBIER  SA   5290&nbsp","PO BOX  378 MOUNT GAMBIER  SA 5290&nbsp","0423 647 610&nbsp","[email&#160;protected][email&#160;protected]&nbsp",,,"Categories: B1, F020, R3, SA, screen, script, scripts, Section, Service, size, src, static, strong, style, supplierdetails, Surfacing","G"
"GAME**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/89f5676c21d5e98cca2576890019ee50?OpenDocument","Fresh","2025-09-12 10:42:05","Worktrainers Ltd&nbsp","GAME&nbsp","98 -100 Drummond Street SHEPPARTON  VIC   3630&nbsp","PO  BOX  6881SHEPPARTON  VIC 3632&nbsp","0488 772 616&nbsp","[email&#160;protected]&nbsp",,,"Categories: screen, script, scripts, Section, see, Service, Services, SHEPPARTON, size, src, static, Street, strong, style, superseded, supplierdetails","G"
"Gamuda Engineering Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/16ec05516661185dca2589c70022dbb4?OpenDocument","Fresh","2025-09-12 10:42:06","Gamuda Engineering Pty Ltd&nbsp","&nbsp","26.01, Level 26, 100 Miller StreetNORTH SYDNEY  NSW   2060&nbsp","&quot;As Above&quot; &nbsp","0499 154 296&nbsp","[email&#160;protected] &nbsp",,,"Categories: B4, F150, R5, screen, script, scripts, Section, Service, size, src, static, Street, strong, style, supplierdetails, SYDNEY","G"
"Garraway Group**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/cf98c098590b23a5ca2574ce001ec86e?OpenDocument","Fresh","2025-09-12 10:42:07","Garraway Earthmoving Pty Ltd&nbsp","Garraway Group&nbsp","367 Benetook AvenueMILDURA  VIC   3500&nbsp","PO  BOX  3378 MILDURA  VIC 3502&nbsp","0448 884 588&nbsp","[email&#160;protected]&nbsp",,,"Categories: F001, R1, screen, script, scripts, Scullino, Section, Service, size, src, static, strong, style, supplierdetails","G"
"Gatso Australia Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/5ecf31e168a620efca257ad100179330?OpenDocument","Fresh","2025-09-12 10:42:07","Gatso Australia Pty Ltd&nbsp","&nbsp","Unit 8/11-12 Phillip CourtPORT MELBOURNE, VIC   3207&nbsp","&quot;As Above&quot; &nbsp","0427 357 586&nbsp","[email&#160;protected]&nbsp",,,"Categories: screen, script, scripts, Section, see, Service, Services, size, src, static, strong, style, superseded, supplierdetails","G"
"GBM Consulting Services Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/26a7dbc7e0cfce73ca256d6d001ae1b2?OpenDocument","Fresh","2025-09-12 10:42:08","GBM Consulting Services Pty Ltd&nbsp","&nbsp","383 Ontario AvenueMildura  VIC     3500&nbsp","&quot;As Above&quot; &nbsp","0438 302 103&nbsp","[email&#160;protected] &nbsp",,,"Categories: M2-PW, screen, script, scripts, Section, Service, Services, size, src, static, strong, style, supplierdetails, Surfacing","G"
"GBM Contractors (Vic) Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/1b42597d84519190ca257ea400078e34?OpenDocument","Fresh","2025-09-12 10:42:09","GBM Contractors (Vic) Pty Ltd&nbsp","&nbsp","78 Waterloo Road YARRAGON  VIC   3823&nbsp","P O Box 616WARRAGUL  VIC 3820&nbsp","0400 220 836&nbsp","[email&#160;protected]&nbsp",,,"Categories: screen, script, scripts, Section, Service, size, src, static, Steven, strong, style, supplierdetails","G"
"GC Civil Contracting Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/3a47ddc2bebc5435ca25889900055a39?OpenDocument","Fresh","2025-09-12 10:42:09","GC Civil Contracting Pty Ltd&nbsp","&nbsp","60 Doyle AvenueUNANDERRA  NSW   2526&nbsp","&quot;As Above&quot; &nbsp","0429 530 680 &nbsp","[email&#160;protected]&nbsp",,,"Categories: screen, script, scripts, Section, Service, Simpson, size, src, static, strong, style, supplierdetails","G"
"Gearon Civil Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/ac7a44e5ede37b9aca25815a0008a508?OpenDocument","Fresh","2025-09-12 10:42:10","Gearon Civil Pty Ltd&nbsp","&nbsp","1/16 Vesper Drive NARRE WARREN   VIC   3808&nbsp","&quot;As Above&quot; &nbsp","(03) 9704 2500&nbsp","[email&#160;protected]&nbsp",,,"Categories: F050, R3, screen, script, scripts, Section, Service, size, src, static, strong, style, supplierdetails","G"
