"Name","Url","DataSource","ExtractedDate","Firm_","Trading_Name_","Address","Postal_Address_","Mobile_No_","Email","Environment_Group","Biodiversity","PrequalificationCategories","Letter"
"Habitat Management Services**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/cee858fddc30def7ca25750d0011846f?OpenDocument","Fresh","2025-09-12 10:42:32","Universal Computer Consultants Pty Ltd&nbsp","Habitat Management Services&nbsp","Po Box 882Panton Hill, Vic   3759&nbsp","&quot;As Above&quot; &nbsp","&nbsp","[email&#160;protected]&nbsp","Categories:","Flora Fauna and Net Gain Assessments (E-TFL)","Categories: screen, script, scripts, Section, Service, Services, size, src, static, strong, style, supplierdetails","H"
"Hacer Group**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/d5c2c580aeb50a58ca25817f001e0eb8?OpenDocument","Fresh","2025-09-12 10:42:33","Hacer Group Pty Ltd&nbsp","Hacer Group&nbsp","87 High StreetKEW   VIC   3101&nbsp","&quot;As Above&quot; &nbsp","0402 122 431&nbsp","[email&#160;protected]&nbsp",,,"Categories: screen, script, scripts, Section, see, Service, Services, size, src, static, Street, strong, style, superseded, supplierdetails","H"
"Halcrow Pacific Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/240c5eae27e2bd98ca257bb900248dc1?OpenDocument","Fresh","2025-09-12 10:42:34","Halcrow Pacific Pty Ltd&nbsp","&nbsp","Level 40, 385 Bourke StreetMelbourne, VIC   3000&nbsp","GPO Box 1841Melbourne, VIC 3001&nbsp","0401 546 001&nbsp","[email&#160;protected]&nbsp",,,"Categories: Safety, screen, script, scripts, Section, Service, Services, Signal, Signing, Simple, Simulation, size, src, SS, static, Strategies, Street, strong, Structures, style, supplierdetails, Systems","H"
"Hamilton Civil &amp; Construction**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/614802a37a2c8772ca25866c0020c143?OpenDocument","Fresh","2025-09-12 10:42:34","Nigmel Pty Ltd&nbsp","Hamilton Civil & Construction&nbsp","Lot 2, 146 South Boundary RoadHAMILTON  VIC   3300&nbsp","PO Box 329HAMILTON  VIC 3300&nbsp","0408 822 934&nbsp","[email&#160;protected]&nbsp",,,"Categories: M1, M2-BW, M2-PW, Schulz, screen, script, scripts, Section, Service, size, South, src, static, strong, style, supplierdetails","H"
"Hamilton Marino Builders Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/f7d506536c413b05ca257d0f001d0f51?OpenDocument","Fresh","2025-09-12 10:42:35","Hamilton Marino Builders Pty Ltd&nbsp","&nbsp","70 Trenerry Crescent ABBOTSFORD  VIC    3067&nbsp","&quot;As Above&quot; &nbsp","0411 364 231&nbsp","[email&#160;protected]&nbsp",,,"Categories: screen, script, scripts, Section, see, Service, Services, size, src, static, strong, style, superseded, supplierdetails","H"
"Hanlon Industries Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/4e6a4893474bd3d7ca2585bb0023642d?OpenDocument","Fresh","2025-09-12 10:42:35","Hanlon Industries Pty Ltd&nbsp","&nbsp","85 Heales RoadCORIO VIC   3214&nbsp","P O Box 405NORTH GEELONG VIC 3215&nbsp","0431 774 354&nbsp","[email&#160;protected]&nbsp",,,"Categories: M2-BW, screen, script, scripts, SE, Section, Service, Sign, size, src, static, strong, style, supplierdetails","H"
"Hansen Partnership Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/933e445a8feac00aca256d0a00074be4?OpenDocument","Fresh","2025-09-12 10:42:36","Hansen Partnership Pty Ltd&nbsp","&nbsp","Level 4,136 Exhibition StreetMelbourne, VIC   3000&nbsp","&quot;As Above&quot;&nbsp","0419 903 591&nbsp","[email&#160;protected]&nbsp",,,"Categories: Scheme, screen, script, scripts, Section, Service, size, src, ST, static, Strategic, Street, strong, Studies, Study, style, supplierdetails","H"
"Harte Civil Vic Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/2c0b3edd30b3b561ca258404000126de?OpenDocument","Fresh","2025-09-12 10:42:37","Harte Civil Vic Pty Ltd&nbsp","&nbsp","24 Catherine StreetCOBURG NORTH  VIC   3058&nbsp","&quot;As Above&quot; &nbsp","0410 187 994&nbsp","[email&#160;protected]&nbsp",,,"Categories: F002, R1, screen, script, scripts, Section, Service, size, src, static, Street, strong, style, supplierdetails","H"
"Hatch**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/61b0960d9de21275ca25807d0014ebab?OpenDocument","Fresh","2025-09-12 10:42:37","Hatch Pty Ltd&nbsp","Hatch&nbsp","Level 5, 360 Collins StreetMELBOURNE  VIC   3000&nbsp","&quot;As Above&quot; &nbsp","+61 447 802 484&nbsp","[email&#160;protected]&nbsp",,,"Categories: Safety, screen, script, scripts, Section, Sensitive, Service, Services, SH, Signal, Signing, Silla, Simple, Simulation, size, Specialist, Specialists, src, SS, ST, static, Strategic, Strategies, Strategy, Street, strong, Structures, Studies, style, supplierdetails, Survey, Systems","H"
"HDR Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/7c8ae6b37953490fca25833e0011ea14?OpenDocument","Fresh","2025-09-12 10:42:38","HDR Pty Ltd&nbsp","&nbsp","Level 17, 360 Elizabeth StreetMELBOURNE VIC   3000&nbsp","PO Box 10791, Adelaide StreetBRISBANE QLD &nbsp","+61 421 690 729&nbsp","[email&#160;protected]&nbsp",,,"Categories: Safety, scale, screen, script, scripts, Section, Sensitive, Service, Services, SH, Simple, size, src, SS, state, static, Strategies, Street, strong, Structures, style, suitable, supplierdetails","H"
