"Name","Url","DataSource","ExtractedDate","Firm_","Phone","Fax","Address","Contact","Position","Mobile_No_","PostalAddress","Email","Letter"
"Lack Group Traffic Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/35ad3ab50d28bcf6ca25846c0016ffb9?OpenDocument","Cached","2025-09-12 10:43:20","Lack Group Traffic Pty Ltd","1300 205 579","07 5568 0812","Unit 2, 15 John Duncan Court , VARSITY LAKES QLD 4227","Mr David Lewin","Executive General Manager","0427 594 824","PO Box 1713, BURLEIGH HEADS QLD 4220&nbsp","lgc@lackgroup.com.au","L"
"Laing O'Rourke Australia Construction Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/bf5955ab529857e6ca25734500820b25?OpenDocument","Cached","2025-09-12 10:43:21","Laing O'Rourke Australia Construction Pty Ltd","(03) 9249 6400","(02) 9903 0333","HWT Tower, Level 20,, 40 City Road , SOUTHGATE VIC 3006","Mr Bruce Gidley","Business Development Manager, VIC/SA/QLD","0400 536 518","""As Above""&nbsp","bgidley@laingorourke.com.au","L"
"Lake &amp; Land Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/4ece35f803d90aeaca2574a9002454b2?OpenDocument","Cached","2025-09-12 10:43:21","Lake & Land Pty Ltd","(03) 5229 0811","(03) 5229 0899","178 Latrobe Terrace, GEELONG WEST VIC 3218","Mr Alexander Brunacci","Engineering Manager","0425702711","PO BOX 5, BARWON HEADS VIC 3227&nbsp","admin@lakeandland.com.au","L"
"Lanco Group Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/8d61b712ce8d5ac6ca2583da001da88f?OpenDocument","Cached","2025-09-12 10:43:22","Lanco Group Pty Ltd","1300 152 626","03 9467 9459","Level 2, Suite 26, 20 Enterprise Drive, Bundoora VIC 3083","Mr Tony Georgiadis","Director","0414 383 720","""As Above"", &nbsp","tony@lancogroup.com.au","L"
"Landair Surveys","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/fb93e9148eb81bcaca256d0a00075481?OpenDocument","Cached","2025-09-12 10:43:22","Landair Surveys","9887 2888","9887 3897","Suite 1, 675 Boronia Road, WANTIRNA VIC 3152","Mr Erik Birzulis","Managing Director","0418 348 538","""As Above""&nbsp","info@landair.com.au","L"
"Landscape Plus (Vic) Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/653575af740329f2ca2583dd00025b20?OpenDocument","Cached","2025-09-12 10:43:23","Landscape Plus (Vic) Pty Ltd","03 9562 0659",,"58/1470 Ferntree Gully Road, Knoxfield VIC 3180","Mr Christopher Keay","Director","0417 000 209","""As Above"", &nbsp","info@landscapeplus.com.au","L"
"Landserv Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/0a42846834123728ca25774c00055ee9?OpenDocument","Cached","2025-09-12 10:43:24","Landserv Pty Ltd","(03) 5222 4173","(03) 5221 4173","14 Albert Street, GEELONG WEST VIC 3220","Mr Damien Chappell","Managing Director","0488 940 084","PO Box 1628, Geelong VIC 3220&nbsp","admin@landserv.com.au","L"
"Larrakia Bilirra Group Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/ec144dbe07de6dfcca25878300771fa8?OpenDocument","Cached","2025-09-12 10:43:24","Larrakia Bilirra Group Pty Ltd","1300 187 997",,"18 Doveton St N, BALLARAT CENTRAL VIC 3350","Mr Mathew Stokes","Managing Director","0400 407 750","Unit 1, 20 Ravenhall Way, RAVENHALL VIC 3023&nbsp","admin@larrakiabilirra.com.au","L"
"Leech Earthmoving Contracting Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/28b53f9dba06a367ca257b87007ba1d9?OpenDocument","Cached","2025-09-12 10:43:25","Leech Earthmoving Contracting Pty Ltd","(03) 5472 2944","(03) 5472 4631","27 Elizabeth Street, CASTLEMAINE, VIC 3450","Mr Darren Rice","General Manager / Director","0408 590 738","P O Box 425, CASTLEMAINE, VIC 3450&nbsp",,"L"
"Leed Engineering and Construction Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/c64dd1ee978a52b9ca25701100240c35?OpenDocument","Cached","2025-09-12 10:43:26","Leed Engineering and Construction Pty Ltd","08 8132 1044",,"95 King William Street, KENT TOWN SA 5067","Mr Paul Teakle","General Manager Operations","0419 819 897","Level 3, 8 Treadwell Street, ESSENDON NORTH VIC 3041&nbsp","pteakle@leed.net.au","L"
