"Name","Url","DataSource","ExtractedDate","Firm_","Trading_Name_","Address","Postal_Address_","Mobile_No_","Email","Traffic_Management_Services__contract__Groups","PrequalificationCategories","Letter"
"M Group Trades &amp; Labour Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/c9483aef2533b700ca2581480007e6f7?OpenDocument","Fresh","2025-09-12 10:43:35","M Group Trades & Labour Pty Ltd&nbsp","&nbsp","46 Lindon Court TULLAMARINE  VIC   3043&nbsp","&quot;As Above&quot; &nbsp","0409 919 977&nbsp","[email&#160;protected]&nbsp","Categories: Categories:","Categories: screen, script, scripts, Section, see, Service, Services, size, src, static, strong, style, superseded, supplierdetails","M"
"M1 Traffic Control Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/76bd143ed10380ddca2576a4001f5b2a?OpenDocument","Fresh","2025-09-12 10:43:35","M1 Traffic Control Pty Ltd&nbsp","&nbsp","13 Raylee PlaceLYNBROOK  VIC   3975&nbsp","&quot;As Above&quot;&nbsp","0429 237 862&nbsp","[email&#160;protected]&nbsp","Categories: Categories:","Categories: M1, screen, script, scripts, Section, see, Service, Services, size, src, static, strong, style, superseded, supplierdetails","M"
"MACA Civil Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/6a4b5975721bd723ca257fe3001c830e?OpenDocument","Fresh","2025-09-12 10:43:36","MACA Civil Pty Ltd&nbsp","&nbsp","45 Division StreetWELSHPOOL  WA   6106&nbsp","&quot;As Above&quot; &nbsp","0427 988 863&nbsp","[email&#160;protected]&nbsp",,"Categories: B2, F150, R4, screen, script, scripts, Section, Service, size, src, static, Street, strong, style, Submissions, supplierdetails","M"
"MACA Infrastructure Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/a6386a108d1ad2acca25803d00079de0?OpenDocument","Fresh","2025-09-12 10:43:37","MACA Infrastructure Pty Ltd&nbsp","&nbsp","115 Hereford RoadMOUNT EVELYN  VIC   3796&nbsp","&quot;As Above&quot; &nbsp","0448 342 601&nbsp","[email&#160;protected] &nbsp",,"Categories: B1, F150, M1, M2-BW, M2-PW, M2-RW, R2, Sabrina, screen, script, scripts, Section, Service, size, src, static, strong, style, Submissions, supplierdetails, Surfacing","M"
"Macutex Pty Limited","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/13fd52e1a93fe281ca2574e2001f9661?OpenDocument","Fresh","2025-09-12 10:43:37","Macutex Pty Limited&nbsp","&nbsp","448 William StreetMelbourne Vic   3003&nbsp","&quot;As Above&quot; &nbsp","0404 899 961&nbsp","[email&#160;protected]&nbsp",,"Categories: screen, script, scripts, Section, Service, size, src, static, Street, strong, style, supplierdetails","M"
"Mad Cat Constructions (Vic) Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/7545e685d01cb2a3ca2579d50000f404?OpenDocument","Fresh","2025-09-12 10:43:38","Mad Cat Constructions (Vic) Pty Ltd&nbsp","&nbsp","9 Ramsay CourtWarragul, VIC    3820&nbsp","P O Box 823Warragul, VIC 3820&nbsp","0419 554 009&nbsp","[email&#160;protected]&nbsp",,"Categories: M1, screen, script, scripts, Section, Service, size, src, static, strong, style, supplierdetails","M"
"Madica Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/961001f1954b4357ca25825d0018b2fb?OpenDocument","Fresh","2025-09-12 10:43:39","Madica Pty Ltd&nbsp","&nbsp","5110 Ballarat RoadCAMBRIAN HILL  VIC   3352&nbsp","&quot;As Above&quot; &nbsp","0427 393 063&nbsp","[email&#160;protected]&nbsp",,"Categories: F001, R1, screen, script, scripts, Section, Service, size, src, static, strong, style, supplierdetails","M"
"Maffra Trenching &amp; Boring Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/db629e4eeeb0d18dca257b24008076a7?OpenDocument","Fresh","2025-09-12 10:43:39","Maffra Trenching & Boring Pty Ltd&nbsp","&nbsp","54-56 Eastern RoadTraralgon, VIC   3844&nbsp","P O Box 2152Traralgon, VIC 3844&nbsp","0400 959 612&nbsp","[email&#160;protected] &nbsp","Categories: Categories:","Categories: screen, script, scripts, Section, see, Service, Services, size, src, static, strong, style, superseded, supplierdetails","M"
"Maine Civil Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/d385eed6e280cea3ca25852e0018d2ca?OpenDocument","Fresh","2025-09-12 10:43:40","Maine Civil Pty Ltd&nbsp","&nbsp","22 McGoldrick CourtEAST BENDIGO VIC   3550&nbsp","PO Box 637GOLDEN SQUARE VIC 3555&nbsp","0400 972 232&nbsp","[email&#160;protected]&nbsp",,"Categories: F005, R1, screen, script, scripts, Section, Service, size, SQUARE, src, static, strong, style, supplierdetails","M"
"Mainland Civil Vic Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/ac73f606a70e868aca25873e001d2ce7?OpenDocument","Fresh","2025-09-12 10:43:40","Mainland Civil Vic Pty Ltd&nbsp","&nbsp","41 Cobden StreetNORTH MELBOURNE  VIC   305&nbsp","PO Box 1734MELBOURNE  VIC 3001&nbsp","0401 160 994&nbsp","[email&#160;protected]&nbsp",,"Categories: B1, F025, R3, screen, script, scripts, Section, Service, size, src, static, Street, strong, style, supplierdetails, Systems","M"
