"Name","Url","DataSource","ExtractedDate","Firm_","Trading_Name_","Address","Postal_Address_","Mobile_No_","Email","Environment_Group","Environmental","Transport_and_Planning_Studies_Group","Specialist_Studies_Tasks","Specialists","Jara_McKinlay_Yen_Yuen","PrequalificationCategories","Letter"
"Nation Partners**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/9ffc49f88a457cd7ca2581270083af8a?OpenDocument","Fresh","2025-09-12 10:44:25","Nation Partners Pty Ltd&nbsp","Nation Partners&nbsp","Level 3, 75 Flinders Lane,MELBOURNE  VIC   3000&nbsp","&quot;As Above&quot; &nbsp","0419 513 850&nbsp","[email&#160;protected]&nbsp","Categories:","Environmental Auditing - Construction (E-EAC), Environmental Management Systems (E-EMS)","Categories:","Community Involvement (CI), Facilitation (CF), Regional Economy/ Business and Tourism (RE), Social Impact (SI)","Names:","Social Impact (SI)Regional Economy/ Business and Tourism (RE)","Categories: screen, script, scripts, Section, Service, SI, size, Social, Specialist, Specialists, src, static, strong, Studies, style, supplierdetails, Systems","N"
"National Traffic Control (Vic) Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/f637a76ebac18998ca257c3f00824789?OpenDocument","Fresh","2025-09-12 10:44:25","National Traffic Control (Vic) Pty Ltd &nbsp","&nbsp","435 Edgars Road Little River, VIC   3211&nbsp","P O Box 135Little River, VIC 3211&nbsp","0499 107 721&nbsp","[email&#160;protected]&nbsp",,,,,,,"Categories: screen, script, scripts, Section, see, Service, Services, size, src, static, strong, Stuart, style, superseded, supplierdetails","N"
"National Transport Research Organisation **","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/7f57484ad76cbf26ca256d0a000736e4?OpenDocument","Fresh","2025-09-12 10:44:26","ARRB Group Ltd&nbsp","National Transport Research Organisation &nbsp","80A Turner StPORT MELBOURNE  VIC   3207&nbsp","&quot;As Above&quot;&nbsp","0417 050 071&nbsp","[email&#160;protected]&nbsp",,,"Categories:",,,,"Categories: Safety, screen, script, scripts, Section, Service, Services, Signing, size, Speed, src, St, static, Strategies, Strategy, strong, Studies, style, supplierdetails, Survey, surveys, Surveys, Systems","N"
"Nationwide Traffic Surveys Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/41806159eae53c7fca257a1c00283117?OpenDocument","Fresh","2025-09-12 10:44:26","Nationwide Traffic Surveys Pty Ltd&nbsp","&nbsp","3 Trevethic RoadSpringvale VIC   3171&nbsp","P O Box 1016 Clayton South VIC 3169&nbsp","0419 388 244&nbsp","[email&#160;protected]&nbsp",,,,,,,"Categories: Sao, screen, script, scripts, Section, Seng, Service, Services, size, South, Speed, Springvale, src, static, strong, style, supplierdetails, Surveys","N"
"Native Oz Group Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/7e5fcedf5f60dde3ca2587650077ae14?OpenDocument","Fresh","2025-09-12 10:44:27","Native Oz Group Pty Ltd&nbsp","&nbsp","Factory 3, 4 Guelph StreetSOMMERVILLE  VIC   3912&nbsp","&quot;As Above&quot; &nbsp","0426 282 503&nbsp","[email&#160;protected]&nbsp",,,,,,,"Categories: Scheme, screen, script, scripts, Section, see, sent, Service, Services, shall, sites, size, SOMMERVILLE, speed, src, static, Street, strong, style, subject, superseded, supervision, supplierdetails, Surveillance","N"
"Naturform Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/40f96a37a345c398ca258243007f1eae?OpenDocument","Fresh","2025-09-12 10:44:28","Naturform Pty Ltd&nbsp","&nbsp","11 Production Drive MELTON  VIC   3337&nbsp","&quot;As Above&quot; &nbsp","0412 890 175&nbsp","[email&#160;protected]&nbsp",,,,,,,"Categories: M1, screen, script, scripts, Section, Service, size, src, static, strong, style, supplierdetails","N"
"Navkau Trans Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/ac0a18f7b5833308ca2582950028bdbc?OpenDocument","Fresh","2025-09-12 10:44:28","Navkau Trans Pty Ltd&nbsp","&nbsp","5 Giaconda CourtOFFICER  VIC    3809&nbsp","&quot;As Above&quot; &nbsp","0434 819 793&nbsp","[email&#160;protected]&nbsp",,,,,,,"Categories: screen, script, scripts, Section, see, Service, Services, size, src, static, strong, style, superseded, supplierdetails","N"
"NBC Civil Constructions Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/8b36928f8772dd62ca258a4500192f01?OpenDocument","Fresh","2025-09-12 10:44:29","NBC Civil Constructions Pty Ltd&nbsp","&nbsp","1/33 Paramount Boulevard CRANBOURNE WEST   VIC   3977&nbsp","&quot;As Above&quot; &nbsp","0419 014 730 &nbsp","[email&#160;protected] &nbsp",,,,,,,"Categories: F010, R1, screen, script, scripts, Section, Service, size, src, static, strong, style, supplierdetails","N"
"Negri Contractors (Vic) Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/39fb114a09b29fe2ca256d0b0016ff75?OpenDocument","Fresh","2025-09-12 10:44:30","Negri Contractors (Vic) Pty Ltd&nbsp","&nbsp","30 Randor StreetCAMPBELLFIELD  VIC   3061&nbsp","&quot;As Above&quot;&nbsp","0438 508 292&nbsp","[email&#160;protected]&nbsp",,,,,,,"Categories: B2, F020, R4, screen, script, scripts, Section, Service, size, src, static, Street, strong, style, supplierdetails","N"
"Nelmac Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/f3d5a793fda1d672ca2576420022bc62?OpenDocument","Fresh","2025-09-12 10:44:30","Nelmac Pty Ltd&nbsp","&nbsp","120 Bells Flat RoadYACKANDANDAH   VIC   3749&nbsp","&quot;As Above&quot;&nbsp","04121 234 277&nbsp","[email&#160;protected]&nbsp",,,,,,,"Categories: B3, F025, R3, screen, script, scripts, Section, Service, size, src, static, strong, style, supplierdetails, Suzanne","N"
