"Name","Url","DataSource","ExtractedDate","Firm_","Trading_Name_","Address","Postal_Address_","Mobile_No_","Email","Road_and_Bridge_Design_Group","Road_Design","Hydrologic___Hydraulic_Design","PrequalificationCategories","Letter"
"P T Tomkinson &amp; Associates Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/7717bc81ae6069feca256d0a00075ab0?OpenDocument","Fresh","2025-09-12 10:44:50","P T Tomkinson & Associates Pty Ltd&nbsp","&nbsp","57 Myers StreetBENDIGO VIC   3552&nbsp","PO BOX 421Bendigo, VIC 3552&nbsp","0409 794 250&nbsp","[email&#160;protected]&nbsp","Categories:","Rural Road (RR)","H&H-Simple (SH)","Categories: screen, script, scripts, Section, Service, SH, Simple, size, src, static, Street, strong, style, supplierdetails","P"
"Pae Holmes","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/7d0025a5100b320fca256d0a00075ade?OpenDocument","Fresh","2025-09-12 10:44:50","Pae Holmes&nbsp","&nbsp","Level 1/59 Melbourne StreeetSOUTH BRISBANE  QLD   4101&nbsp","PO BOX 3306SOUTH BRISBANE  QLD 4101&nbsp","0419 715 053&nbsp","[email&#160;protected] au&nbsp",,,,"Categories: screen, script, scripts, Section, Service, size, Smit, SOUTH, src, static, Streeet, strong, style, supplierdetails","P"
"Paffrath Consulting Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/e4e56c0af7fb4973ca257e4300017de6?OpenDocument","Fresh","2025-09-12 10:44:51","Paffrath Consulting Pty Ltd&nbsp","&nbsp","13 Sun Valley DriveSHEPPARTON    3630&nbsp","&quot;As Above&quot; &nbsp","0427 318 648&nbsp","[email&#160;protected]&nbsp",,,,"Categories: Safety, screen, script, scripts, Section, Service, Services, SHEPPARTON, size, Specialists, src, static, strong, style, Sun, supplierdetails","P"
"Pana Group Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/9515477789e1e50bca25760a00001663?OpenDocument","Fresh","2025-09-12 10:44:51","Pana Group Pty Ltd&nbsp","&nbsp","17-19 Pelmet CrescentTHOMASTOWN  VIC   3074&nbsp","PO Box 240RESERVOIR  VIC 3073&nbsp","0419 378 292&nbsp","[email&#160;protected]&nbsp",,,,"Categories: F005, R2, screen, script, scripts, Section, Service, size, src, static, strong, style, supplierdetails","P"
"Parkinson Group (Vic) Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/4aa80f9d8855ac8bca257d7f007fee27?OpenDocument","Fresh","2025-09-12 10:44:52","Parkinson Group (Vic) Pty Ltd&nbsp","&nbsp","28-32 Alfred StreetBLACKBURN  VIC   3130&nbsp","30 Alfred StreetBLACKBURN  VIC 3130&nbsp","0419 107 054&nbsp","[email&#160;protected]&nbsp",,,,"Categories: B2, F005, M2-BW, M2-PW, M2-RW, R2, screen, script, scripts, Section, Service, size, src, static, Street, strong, style, supplierdetails, Surfacing","P"
"Paroissien Grant &amp; Associates Pty Ltd.","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/664ba6067480e92fca256ea600005a91?OpenDocument","Fresh","2025-09-12 10:44:53","Paroissien Grant & Associates Pty Ltd.&nbsp","&nbsp","Suite 10,  131 Bulleen RoadNORTH BALWYN  VIC   3104&nbsp","&quot;As Above&quot; &nbsp","&nbsp","[email&#160;protected]&nbsp","Categories:","Rural Road (RR), Urban Road (UR)","H&H-Simple (SH)","Categories: screen, script, scripts, Section, Senior, Service, SH, Simple, size, src, static, strong, style, Suite, supplierdetails","P"
"Partnear**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/f738e3c080d01008ca258bf7000a03b5?OpenDocument","Fresh","2025-09-12 10:44:53","Partnear Pty Ltd&nbsp","Partnear&nbsp","176 Williams RoadBarnawartha VIC   3688&nbsp","&quot;As Above&quot; &nbsp","0432 224 980&nbsp","[email&#160;protected]&nbsp","Categories:","Rural Road (RR)","H&H-Simple (SH)","Categories: screen, script, scripts, Section, Service, SH, Simple, size, src, static, strong, style, supplierdetails","P"
"Pat Earthworks &amp; Civil Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/57143c53ebeee9cfca2583d900802475?OpenDocument","Fresh","2025-09-12 10:44:54","Pat Earthworks & Civil Pty Ltd&nbsp","&nbsp","125 Railway ParadeWesburn VIC   3799&nbsp","&quot;As Above&quot; &nbsp","0402 532 827&nbsp","[email&#160;protected]&nbsp",,,,"Categories: F001, R1, screen, script, scripts, Section, Service, size, src, static, strong, style, supplierdetails, Support","P"
"Patriot Environmental Management**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/8a87305e1d3036edca25816700228def?OpenDocument","Fresh","2025-09-12 10:44:55","Patriot Tankers Pty Ltd&nbsp","Patriot Environmental Management&nbsp","67 Abbotts RoadHALLAM  VIC   3803&nbsp","P O BOX 6133YATALA  QLD 4207&nbsp","0427 719 840&nbsp","[email&#160;protected]&nbsp",,,,"Categories: screen, script, scripts, Section, Service, size, src, static, strong, style, supplierdetails","P"
"Patten Pavement Services Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/dfc02d51c483a251ca256ebb00812361?OpenDocument","Fresh","2025-09-12 10:44:55","Patten Pavement Services Pty Ltd&nbsp","&nbsp","43 Ferris RdCOBBLEBANK  VIC    3338&nbsp","As above &nbsp","0419 895 130 &nbsp","[email&#160;protected]  &nbsp",,,,"Categories: F015, M2-PW, M2-RW, R2, screen, script, scripts, Secretary, Section, Service, Services, size, src, static, strong, style, supplierdetails, Surfacing","P"
