"Name","Url","DataSource","ExtractedDate","Firm_","Address","Contact","Position","Mobile_No_","PostalAddress","Email","Maintenance_and_General_Works_Group","PrequalificationCategories","Letter"
"S &amp; L Maintenance Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/10f3add6fa5d24a7ca2581410007ecd5?OpenDocument","Fresh","2026-01-21 16:06:13","S & L Maintenance Pty Ltd","167 -181 Old Melbourne Road, LITTLE RIVER VIC 3211","Mr Stuart Anderson","Director","0425 863 951","PO BOX 131, LITTLE RIVER VIC 3211&nbsp","admin@sl-m.com.au","Maintenance: Maintenance Bridges (M2-BW), Maintenance Works-Minor (M1); General Works: General Works-Minor (G1), Sign Erection-Major (G2-SE)","BW, ERECTION-MAJOR, M1, M2-BW, SE, SIGN, WORKS-MINOR","S"
"S &amp; N Road Stabilising Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/2410c8d6ebcb0910ca25849d00759033?OpenDocument","Fresh","2026-01-21 16:06:13","S & N Road Stabilising Pty Ltd","7718 Midland Highway, MAGPIE VIC 3352","Mr Sam Phelan","Director","0429 894 467","""As Above"", &nbsp","sam@snroadstabilising.com.au","Maintenance: Maintenance Pavements (M2-PW), Maintenance Works-Minor (M1); General Works: General Works-Minor (G1)","M1, M2-PW, PW, WORKS-MINOR","S"
"S &amp; R Engineering and Construction Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/57e195092674cf8fca258ae6001959bc?OpenDocument","Fresh","2026-01-21 16:06:14","S & R Engineering and Construction Pty Ltd","228 Marong Rd , Maiden Gully VIC 3551","Mr Clayton Holmes","Project Manager","0439 427 129","""As Above"", &nbsp","Clayton.holmes@sandr.com.au",,"F015, R1","S"
"S &amp; Z Australia Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/fca6fa7a5aebdaf3ca25848e007fddd0?OpenDocument","Fresh","2026-01-21 16:06:15","S & Z Australia Pty Ltd","18 Logistics Street, KEILOR PARK VIC 3042","Mr Anthony Merlino","Project Manager",,"PO Box 141 , NORTH ESSENDON VIC 3041&nbsp","anthony@sandz.com.au","General Works: General Works-Minor (G1)","WORKS-MINOR","S"
"Safe Civil Solutions**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/3e2a2b20bd7af988ca258067001a3b44?OpenDocument","Fresh","2026-01-21 16:06:15","Payne Pit Installations Pty Ltd","310 A'Beckett Road, BUNYIP VIC 3815","Ms Allanah Ockwell",,"0438 298 561","""As Above"", &nbsp","office@maincivil.com.au",,,"S"
"Safe System Solutions Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/8a9b918bf141a854ca257c58001276b9?OpenDocument","Fresh","2026-01-21 16:06:16","Safe System Solutions Pty Ltd","Office G2 10-14 Hope Street, BRUNSWICK VIC 3056","Mr Kenn Beer","Principal","0401 345 461","""As Above"", &nbsp","kenn.beer@safesystemsolutions.com.au",,"CF, HC, PAM, PRN, PRS, RISK, RM, ROAD, TAR, TOF, TOS, TSD, TTF","S"
"Safer Roads Traffic Management Australia Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/fb85f9de2e710a5dca25812b0003783f?OpenDocument","Fresh","2026-01-21 16:06:17","Safer Roads Traffic Management Australia Pty Ltd","44 Wehlow Street, MT DRUITT NSW 2770","Ms Nicole Chemouni","Director / Secretary","0403 530 633","""As Above"", &nbsp","info@saferroads.com.au",,,"S"
"Saferoads Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/6710d27887a9c174ca256d67001f94cd?OpenDocument","Fresh","2026-01-21 16:06:17","Saferoads Pty Ltd","22 Commercial Drive, PAKENHAM 3810 3810","Mr Darren Hotchkins","Managing Director","0419 512 850","PO Box 2030, PAKENHAM VIC 3810&nbsp","sales@saferoads.com.au","General Works: Guardfence (G2-GF)","GF","S"
"Safety Barrier Solutions Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/49271481836fd551ca2579bb00205342?OpenDocument","Fresh","2026-01-21 16:06:18","Safety Barrier Solutions Pty Ltd","61 National Drive, PAKENHAM VIC 3810","Mr Shane McCann","Project Manager",,"""As Above""&nbsp","sales@safetybarriersolutions.com.au","General Works: Guardfence (G2-GF)","GF","S"
"SAGE Automation**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/068ab3f774eebf66ca2579ac00048751?OpenDocument","Fresh","2026-01-21 16:06:18","SAGE Automation Pty Ltd","Level 21, HWT Tower, 40 City Road, Southbank VIC 3006","Mr Paul Markwick","General Manager","0419 030 561","As above, &nbsp","paul.markwick@gotosage.com",,"OF, ON, ON-ROAD, ROAD, SCTV, SOED, SSLC, STCE","S"
