"Name","Url","DataSource","ExtractedDate","Firm_","Phone","Fax","Address","Contact","Position","Mobile_No_","PostalAddress","Email","Maintenance_and_General_Works_Group","PrequalificationCategories","Letter"
"T A Lindsay Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/913871928fbed43bca256d6b0025ca01?OpenDocument","Cached","2025-09-12 10:46:33","T A Lindsay Pty Ltd","(03) 5762 4893","(03) 5762 4893","Goomalibee Road, BENALLA VIC 3672","Mr Tom Lindsay","Director","0418 574 080","P O Box 296, BENALLA VIC 3672&nbsp","tom.a.lindsay@bigpond.com","General Works: Guardfence (G2-GF)","GF","T"
"Tac Design Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/dca838b6c5e10269ca2573ca001cad8c?OpenDocument","Cached","2025-09-12 10:46:34","Tac Design Pty Ltd","(03) 5255 2079",,"52 Somerdale Avenue, OCEAN GROVE VIC 3226","Mr Michael Stirrat","Director","0423 068 198","""As Above"", &nbsp","stirrat_1@optusnet.com.au",,"ROAD, RR, SRSA, TOS, TSD","T"
"Tambo Constructions Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/8badd9672f1ead11ca256d0b00172484?OpenDocument","Cached","2025-09-12 10:46:35","Tambo Constructions Pty Ltd","(03) 5156 4442","(03) 5156 4688","87 Swan Reach Road, SWAN REACH VIC 3903","Mr Kevin Whelan","Director","0418 516 488","""As Above""&nbsp","tamboconstruction@bigpond.com",,"B2, F001, R1","T"
"Target Zero Traffic**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/20e92082437ab12aca257d410028de66?OpenDocument","Cached","2025-09-12 10:46:35","Mayberry Constructions Pty Ltd","(03) 5940 3111","(03) 5940 3222","22 Industrial Drive, Pakenham VIC 3810","Mr Clint Mayberry","Director","0419 357 493","""As Above"", &nbsp","admin@tztraffic.com.au",,,"T"
"Tasman Associates Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/437d901cc2706a22ca257ba200078088?OpenDocument","Cached","2025-09-12 10:46:36","Tasman Associates Pty Ltd","(02) 4625 2517",,"2 Innes Street, Campbeltown, NSW 2560","Mr Ken Littlefair","General Manager","0421 197 300","""As Above"", &nbsp","info@tasmanassociates.com",,"BI2","T"
"Taylors Development Strategists Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/81f626ec7eccf3dfca2586ed00008617?OpenDocument","Cached","2025-09-12 10:46:37","Taylors Development Strategists Pty Ltd","(03) 9501 2800","(03) 9501 2844","8/270 Ferntree Gully Road, NOTTING HILL, VIC 3156","Mr Anthony Emmerson","General Manager - Infrastructure","0404 502 617","""As Above"", &nbsp",,,"H-SIMPLE, ROAD, RR, SH, UR","T"
"TBE Project Management Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/1a1414f3db5f7235ca257eff007e79c2?OpenDocument","Cached","2025-09-12 10:46:37","TBE Project Management Pty Ltd","(03) 5261 9763",,"44 Eton Road, TORQUAY VIC 3228","Mr Boyd Williams","Director","0456 118 127","""As Above"", &nbsp","tbeproject@bigpond.com",,"COMM, INC, ROAD, SEC, SMW, SRW","T"
"TDM Traffic Management**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/4d6b6ca7b4e791b0ca2587aa000ceab4?OpenDocument","Cached","2025-09-12 10:46:38","BGDTDM Pty Ltd","0477 872 077",,"10 Elsum Avenue, BAYSWATER NORTH VIC 3153","Mr Paul Geraghty","General Manager","0403 046 150","""As Above"", &nbsp","info@tdmtraffic.com.au",,,"T"
"Teleo Design Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/44a44ee6675bbdc9ca2583a200197667?OpenDocument","Cached","2025-09-12 10:46:39","Teleo Design Pty Ltd","02 8458 3400",,"17/19-23 Bridge Street, PYMBLE NSW 2073","Mr Eric Hooimeyer","Director","0413 006 174","""As Above"", &nbsp","info@teleodesign.com.au",,"SS, STRUCTURES-SIMPLE","T"
"Terraco Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/66582db688009a85ca25723b0020703a?OpenDocument","Cached","2025-09-12 10:46:39","Terraco Pty Ltd","(03) 5442 5799","(03) 5441 5506","24 Jewell Court, BENDIGO VIC 3550","Mr Paul Bowe","Director","0419 761 430","PO BOX 5507, BENDIGO VIC 3550&nbsp","paul@terraco.com.au",,"ROAD, RR","T"
"Tetra Tech Coffey Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/9c8ddb8a86ff230bca2588ee00191216?OpenDocument","Cached","2025-09-12 10:46:40","Tetra Tech Coffey Pty Ltd","03 9299 7000",,"Level 11, 2 Riverside Quay, , SOUTHBANK VIC 3006","Ms Kathryn Jones","Victoria, Tasmania & South Australia Operations Manager","0438 385 751","""As Above"", &nbsp","Kathryn.jones@tetratech.com",,"DES, GT, GT-DES, GT-INV, INV, M1, M2, ND1, ND2, RM1, RM2","T"
"TGM Group Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/161a25fc86038dacca2575da0023f062?OpenDocument","Cached","2025-09-12 10:46:40","TGM Group Pty Ltd","(03) 8862 9333","(03) 9819 4909","Level 1, 765 Glenferrie Road, HAWTHORN VIC 3122","Mr Don Parry","Managing Director","0407 367 621","PO Box 563W, Ballarat West, Vic 3350&nbsp",,,"H-SIMPLE, ROAD, RR, SH, SS, STRUCTURES-SIMPLE, UR","T"
"TGM Group Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/161a25fc86038dacca257bdc001f0f31?OpenDocument","Cached","2025-09-12 10:46:40","TGM Group Pty Ltd","(03) 8862 9333","(03) 9819 4909","Level 1, 765 Glenferrie Road, HAWTHORN VIC 3122","Mr Don Parry","Managing Director","0407 367 621","PO Box 563W, Ballarat West, Vic 3350&nbsp",,,"H-SIMPLE, ROAD, RR, SH, SS, STRUCTURES-SIMPLE, UR","T"
"The CSE Group Consulting Engineers Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/ab6e1294f33cfbfcca2587a7000f4d12?OpenDocument","Cached","2025-09-12 10:46:41","The CSE Group Consulting Engineers Pty Ltd","03 55624930",,",","Mr Scott Trotter","Engineer/Principal",,"""As Above"", &nbsp","scottt@thecsegroup.com.au",,"SS, STRUCTURES-SIMPLE","T"
"The Graffiti Eaters**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/92fbb6c308e19374ca257d53007fd09e?OpenDocument","Cached","2025-09-12 10:46:42","The Graffiti Eaters Pty Ltd","1300 305 308","1300 305 308","29 The Concord, BUNDOORA, VIC 3083","Mr Mark Mackenzie","Managing Director","0418 327 317","""As Above"", &nbsp","managingdirector@graffitieaters.com","Maintenance: Maintenance Works-Minor (M1); General Works: General Works-Minor (G1)","M1, WORKS-MINOR","T"
"The Traffic Plans Company Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/fc0d2dd428014effca257d30007ca348?OpenDocument","Cached","2025-09-12 10:46:42","The Traffic Plans Company Pty Ltd","03 9066 4417",,"22/73 Assembly Drive, DANDENONG SOUTH, VIC 3175","Mr Oguzhan Ozgur","Director","0434 853 166","""As Above"", &nbsp","oggy@trafficplans.company",,,"T"
"The Tree Doctor (Vic) Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/0e96bbc0c018039fca257c150006a4ac?OpenDocument","Cached","2025-09-12 10:46:43","The Tree Doctor (Vic) Pty Ltd","(03) 9782 5755","(03) 8796 3884","20 - 22 Milne Avenue, SEAFORD, VIC 3198","Mr Barry Chant","Director","0418 381 657","P O Box 2669, SEAFORD, VIC 3198&nbsp","barry@thetreedoctor.com.au",,,"T"
"The Trustee for Bricker Pipelines Trust**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/8bf4ce48a06ff13cca258530001e81ad?OpenDocument","Cached","2025-09-12 10:46:44","Bricker Pipelines Pty Ltd","03 9708 2731",,"25 Rutherford Road, SEAFORD VIC 3198","Ms Jodie Greenough","Office Manager","0413 604 252","""As Above"", &nbsp","gavin@brickerpl.com.au",,,"T"
"The University of Adelaide","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/60ef71d3bb379ea3ca25826a0006e157?OpenDocument","Cached","2025-09-12 10:46:44","The University of Adelaide","( 08 ) 8313 5997","( 08 ) 8232 4995","The University of Adelaide, Centre for Automotive Safety Research, North Terrace Campus SA 5005","Ms Leonie Witter","Business Manager","0477 008 071","""As Above"", &nbsp","leonie@casr.adelaide.edu.au",,"DBS, PRS, ROAD","T"
"TM Pros**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/7a2f9ece6f28661aca2588020001ffba?OpenDocument","Cached","2025-09-12 10:46:45","Traffic Management Professionals Pty Ltd",,,"8/2a Snow Street, KEILOR PARK VIC 3042","Mr Shannon Rogers","Director","0418 471475","""As Above"", &nbsp","trafficmanagementpros@gmail.com",,,"T"
"TM Road Maintenance Services Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/1c6d2805bb263fe9ca2583080000677d?OpenDocument","Cached","2025-09-12 10:46:46","TM Road Maintenance Services Pty Ltd",,,"1/8 Purton Road, PAKENHAM VIC 3810","Mrs Terina Tukaki-Matthews","Director","0438 898 687","P O Box 263, OFFICER VIC 3809&nbsp","terina@tmroads.com","Maintenance: Maintenance Roadsides (M2-RW), Maintenance Works-Minor (M1); General Works: General Works-Minor (G1), Grass Cutting (G2-GC)","GC, M1, M2-RW, RW, WORKS-MINOR","T"
"TMP's 2 Go Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/07538dbe70a791fcca258456000c9be6?OpenDocument","Cached","2025-09-12 10:46:46","TMP's 2 Go Pty Ltd",,,"27 Banksia Street, MONTROSE VIC 3765","Mrs Nicole Foster","Managing Director","0414 939 070","""As Above"", &nbsp","tmps2go@gmail.com",,,"T"
"TNM Road Services Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/21bd896c97364cc8ca257f6b001ed51b?OpenDocument","Cached","2025-09-12 10:46:47","TNM Road Services Pty Ltd","(03) 9789 0396","(03) 9789 3447","785 Cranbourne Frankston Road, CRANBOURNE VIC 3977","Mr Tiziano Mattei","Director",,"P O Box 336, CRANBOURNE VIC 3977&nbsp","service@tnmroads.com.au",,,"T"
"Tompsett Asphalt Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/42dec51b5f7edfa2ca2585440002adbb?OpenDocument","Cached","2025-09-12 10:46:47","Tompsett Asphalt Pty Ltd",,,"21 Shaftesbury Street, ESSENDON VIC 3040","Mr Matthew Tompsett","Managing Director","0400140955","""As Above"", &nbsp","matthew@tompsettasphalt.com.au","Maintenance: Maintenance Pavements (M2-PW), Maintenance Works-Minor (M1); General Works: General Works-Minor (G1)","M1, M2-PW, PW, WORKS-MINOR","T"
"Tonkin Consulting Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/1169b311fa9e6291ca2584aa007fa996?OpenDocument","Cached","2025-09-12 10:46:48","Tonkin Consulting Pty Ltd","+61 3 5021 4486","08 8273 3110","97 Pine Avenue, MILDURA VIC 3500","Mr Nicholas Firth","Senior Engineer","0424 410 378","""As Above"", &nbsp","Nicholas.Firth@tonkin.com.au",,"H-SIMPLE, M1, ND1, ND2, PRN, RM1, ROAD, RR, SH, SS, STRUCTURES-SIMPLE, TOS, TSM","T"
"Tonkin &amp; Taylor Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/45877ef2e3530d80ca257afc0082c444?OpenDocument","Cached","2025-09-12 10:46:49","Tonkin & Taylor Pty Ltd","(03) 9863 8686",,"Level 3, 99 Coventry Street, SOUTHBANK, VIC 3006","Mr Sunny Singh","Senior Associate Pavement","0416 739 611","""As Above""&nbsp","ssingh@tonkintaylor.com.au",,"DES, GT, GT-DES, GT-GWH, GT-INV, GWH, INV, M1, M2, M3, M4, ND1, ND2, ND3, RM1, RM2, RM3, RM4","T"
"Toongabbie Contractors**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/e53b30bfa986e85bca257b7a0029e9a7?OpenDocument","Cached","2025-09-12 10:46:49","Graeme Moore Pty Ltd","(03) 51 924 204",,"2 Dodd Court, TRARALGON VIC 3844","Ms Leeann Moore","Office Manager","0429 924 379","P O Box 107, GLENGARRY VIC 3854&nbsp","tc@skymesh.com.au","Maintenance: Maintenance Bridges (M2-BW), Maintenance Works-Minor (M1); General Works: General Works-Minor (G1)","BW, M1, M2-BW, WORKS-MINOR","T"
"Toot Traffic Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/4941f437829f8280ca257a8c00083428?OpenDocument","Cached","2025-09-12 10:46:50","Toot Traffic Pty Ltd",,,"4/24 HARRINGTON ROAD, Warrnambool Vic, 3280","Mr Chris Keilar","Operations Manager","0488 018 551","4/24 HARRINGTON ROAD, Warrnambool Vic 3280&nbsp","manager@toottraffic.com.au",,,"T"
"Top Up Traffic**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/3b5670171b034154ca25873a007f0348?OpenDocument","Cached","2025-09-12 10:46:51","Top Up Labour Hire Pty Ltd","03 9769 6938","04 0184 8497","35 Kookaburra Street, FRANKSTON VIC 3199","Mr Steve Mellech","Managing Director",,"""As Above"", &nbsp","steve@topuplabourhire.com",,,"T"
