"Name","Url","DataSource","ExtractedDate","Firm_","Trading_Name_","Address","Postal_Address_","Mobile_No_","Email","Traffic_Management_Services__contract__Groups","PrequalificationCategories","Letter"
"Valleywide Tree Services Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/53cba612ffd76d6dca25844600782c33?OpenDocument","Fresh","2025-09-12 10:47:25","Valleywide Tree Services Pty Ltd&nbsp","&nbsp","70 Old Melbourne RoadMARYVALE  VIC   3840&nbsp","PO Box 3456MORWELL  VIC 3841&nbsp","0413 598 129&nbsp","[email&#160;protected]&nbsp","Categories: Categories:","Categories: screen, script, scripts, Section, see, Service, Services, size, src, static, strong, style, superseded, supplierdetails","V"
"Van Der Meer (Vic) Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/39d3445f525d2fc3ca257ea500085048?OpenDocument","Fresh","2025-09-12 10:47:25","Van Der Meer (Vic) Pty Ltd&nbsp","&nbsp","Level 1, 379 Collins StreetMELBOURNE  VIC   3000&nbsp","&quot;As Above&quot; &nbsp","0411 511 585&nbsp","[email&#160;protected]&nbsp",,"Categories: screen, script, scripts, Section, Service, SH, Simple, size, src, SS, static, Street, strong, Structures, style, supplierdetails","V"
"Vantage Environmental Management Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/8f5d16613a2b57dcca2574e800034c79?OpenDocument","Fresh","2025-09-12 10:47:26","Vantage Environmental Management Pty Ltd&nbsp","&nbsp","Suite 4, 539-541 Kiewa StreetAlbury NSW   2640&nbsp","Po Box 378Albury NSW 2640&nbsp","0420 922 955&nbsp","[email&#160;protected]&nbsp",,"Categories: screen, script, scripts, Section, Service, size, src, static, Street, strong, style, Suite, supplierdetails, Systems","V"
"VCON Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/f846aa100b2d3a24ca257c0c007edc4e?OpenDocument","Fresh","2025-09-12 10:47:27","VCON Pty Ltd&nbsp","&nbsp","Pier 35, Suite 9, 263 - 329 Lorimer StreetPORT MELBOURNE, VIC   3207&nbsp","Locked Bag 18PORT MELBOURNE, VIC 3207&nbsp","0400 555 542&nbsp","[email&#160;protected]&nbsp","Categories: Categories:","Categories: screen, script, scripts, Section, see, Service, Services, size, src, static, Street, strong, style, Suite, superseded, supplierdetails","V"
"Vegetation Group Australia Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/76bfa845ea1b48abca2586b1000655df?OpenDocument","Fresh","2025-09-12 10:47:27","Vegetation Group Australia Pty Ltd&nbsp","&nbsp","1b/475 Blackburn RoadMOUNT WAVERLEY  VIC   3149&nbsp","&quot;As Above&quot; &nbsp","0412401783&nbsp","[email&#160;protected]&nbsp","Categories: Categories:","Categories: screen, script, scripts, Section, see, Senior, Service, Services, Shae, size, src, static, strong, style, superseded, supplierdetails","V"
"Veitch Lister Consulting","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/834341944a96c45eca256d0a00076661?OpenDocument","Fresh","2025-09-12 10:47:28","Veitch Lister Consulting&nbsp","&nbsp","Level 14, 190 Queen StreetMELBOURNE VIC   3000&nbsp","&quot;As Above&quot;&nbsp","0412 146 758&nbsp","[email&#160;protected]&nbsp",,"Categories: screen, script, scripts, Section, Service, size, Specialist, src, ST, static, Strategic, Strategy, Street, strong, Studies, style, supplierdetails","V"
"Ventia Australia Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/5c697604582f991aca258636007ed597?OpenDocument","Fresh","2025-09-12 10:47:28","Ventia Australia Pty Ltd&nbsp","&nbsp","167 Cremorne StreetCREMORNE  VIC   3121&nbsp","&quot;As Above&quot; &nbsp","0438 512 276&nbsp","[email&#160;protected]&nbsp","Categories: Categories:","Categories: B2, F150, M2-BW, M2-PW, M2-RW, R3, screen, script, scripts, SCTV, Section, see, Service, Services, Signals, size, Slater, Sohail, Specialists, src, SSLC, static, STCE, Street, strong, STS, STS1, style, superseded, supplierdetails, Supply, Surfacing, SVDL, Systems","V"
"Ventia Infrastructure Services Pty Limited","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/69c448f5780b2d6aca257f07001ec2e8?OpenDocument","Fresh","2025-09-12 10:47:29","Ventia Infrastructure Services Pty Limited&nbsp","&nbsp","25-37 Huntingdale RoadBurwood, Vic   3125&nbsp","&quot;As Above&quot; &nbsp","1300 836 842&nbsp","[email&#160;protected]&nbsp","Categories: Categories:","Categories: screen, script, scripts, Section, see, Service, Services, size, src, static, Strategic, strong, style, superseded, supplierdetails","V"
"Ventia Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/d9728755d6499856ca258164000d285d?OpenDocument","Fresh","2025-09-12 10:47:30","Ventia Pty Ltd&nbsp","&nbsp","Level 4, Tower 1, 495 Victoria AvenueCHATSWOOD  NSW   2067&nbsp","PO Box 5249WEST CHATSWOOD  NSW 1515&nbsp","0428 986154&nbsp","[email&#160;protected]&nbsp",,"Categories: B2, F150, M1, M2-BW, M2-PW, M2-RW, R3, screen, script, scripts, Section, Service, size, src, static, strong, style, supplierdetails","V"
"Vertitech Australia Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/80e2d86e9bb8b61dca25739e0078990c?OpenDocument","Fresh","2025-09-12 10:47:30","Vertitech Australia Pty Ltd&nbsp","&nbsp","3 Export DriveBROOKLYN  VIC   3025&nbsp","&quot;As Above&quot; &nbsp","&nbsp","[email&#160;protected]&nbsp",,"Categories: B2, F015, M1, M2-BW, screen, script, scripts, Section, Service, size, specialist, src, static, strengthening, strong, style, supplierdetails","V"
